,dataset,max_fic,Average Score,batchsize,dropout_patch,dropout_node,bal_average,f1_marco,f1_mirco,p_marco,p_mirco,r_marco,r_mirco
0,ArticularyWordRecognition,2.0,0.9933,64,0.5,0.2,0.9933,0.9933,0.9933,0.9938,0.9933,0.9933,0.9933
1,AtrialFibrillation,2.0,0.6,64,0.5,0.2,0.6,0.6111,0.6,0.6429,0.6,0.6,0.6
2,BasicMotions,2.0,1.0,64,0.5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,CharacterTrajectories,2.0,0.9979,64,0.5,0.2,0.9979,0.9978,0.9979,0.9978,0.9979,0.9979,0.9979
4,Cricket,2.0,1.0,64,0.5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,DuckDuckGeese,2.0,0.7,64,0.5,0.2,0.7,0.6897,0.7,0.7088,0.7,0.7,0.7
6,ERing,2.0,0.937,64,0.5,0.2,0.937,0.9359,0.937,0.9405,0.937,0.937,0.937
7,EigenWorms,2.0,0.8931,64,0.5,0.2,0.869,0.8659,0.8931,0.8682,0.8931,0.869,0.8931
8,Epilepsy,2.0,1.0,64,0.5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,EthanolConcentration,2.0,0.3878,64,0.5,0.2,0.3883,0.3828,0.3878,0.3835,0.3878,0.3883,0.3878
10,FaceDetection,2.0,0.6757,64,0.5,0.2,0.6757,0.6755,0.6757,0.676,0.6757,0.6757,0.6757
11,FingerMovements,2.0,0.65,64,0.5,0.2,0.6501,0.65,0.65,0.65,0.65,0.6501,0.65
12,HandMovementDirection,2.0,0.4865,64,0.5,0.2,0.4357,0.4148,0.4865,0.5708,0.4865,0.4357,0.4865
13,Handwriting,2.0,0.5165,64,0.5,0.2,0.5181,0.5121,0.5165,0.5737,0.5165,0.5181,0.5165
14,Heartbeat,2.0,0.8244,64,0.5,0.2,0.7651,0.7737,0.8244,0.7848,0.8244,0.7651,0.8244
15,InsectWingbeat,2.0,0.7065,64,0.5,0.2,0.7065,0.7047,0.7065,0.706,0.7065,0.7065,0.7065
16,JapaneseVowels,2.0,0.9892,64,0.5,0.2,0.9877,0.9873,0.9892,0.987,0.9892,0.9877,0.9892
17,LSST,2.0,0.6675,64,0.5,0.2,0.412,0.4195,0.6675,0.4744,0.6675,0.412,0.6675
18,Libras,2.0,0.8167,64,0.5,0.2,0.8167,0.8118,0.8167,0.8582,0.8167,0.8167,0.8167
19,MotorImagery,2.0,0.65,64,0.5,0.2,0.65,0.6339,0.65,0.6821,0.65,0.65,0.65
20,NATOPS,2.0,0.9944,64,0.5,0.2,0.9944,0.9944,0.9944,0.9946,0.9944,0.9944,0.9944
21,PEMS-SF,2.0,0.7861,64,0.5,0.2,0.7893,0.7838,0.7861,0.7863,0.7861,0.7893,0.7861
22,PenDigits,2.0,0.9851,64,0.5,0.2,0.9852,0.9853,0.9851,0.9861,0.9851,0.9852,0.9851
23,PhonemeSpectra,2.0,0.3033,64,0.5,0.2,0.3034,0.2938,0.3033,0.3065,0.3033,0.3034,0.3033
24,RacketSports,2.0,0.9079,64,0.5,0.2,0.9138,0.9116,0.9079,0.9166,0.9079,0.9138,0.9079
25,SelfRegulationSCP1,2.0,0.9113,64,0.5,0.2,0.9114,0.9112,0.9113,0.9124,0.9113,0.9114,0.9113
26,SelfRegulationSCP2,2.0,0.5944,64,0.5,0.2,0.5944,0.5941,0.5944,0.5947,0.5944,0.5944,0.5944
27,SpokenArabicDigits,2.0,0.9995,64,0.5,0.2,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995
28,StandWalkJump,2.0,0.6667,64,0.5,0.2,0.6667,0.6722,0.6667,0.7238,0.6667,0.6667,0.6667
29,UWaveGestureLibrary,2.0,0.9156,64,0.5,0.2,0.9156,0.9144,0.9156,0.9193,0.9156,0.9156,0.9156
